Title,Location,Latitude,Longitude
Foul Play,"Asian Art Museum (200 Larkin Street, Civic Center)",37.795219,-122.420782
Foul Play,Andrew S. Hallidie Plaza (Market & Powell Streets),37.795219,-122.420782
Foul Play,430 Vallejo Street (Telegraph Hill),37.7992797,-122.4046317
Foul Play,24th and Castro Streets (Noe Valley),37.751304,-122.43409
Foul Play,Golden Gate & Steiner Streets (Hayes Valley),37.791934,-122.415475
Foul Play,Fort Mason (Golden Gate National Recreation Area),37.795219,-122.420782
Foul Play,"Fort Point, Presidio",37.761953,-122.43065
Freebie and the Bean,Candlestick Park (602 Jamestown Ave.),37.795219,-122.420782
Freebie and the Bean,Alco Plaza,37.795219,-122.420782
Freebie and the Bean,Twin Peaks,37.757588,-122.447915
Freebie and the Bean,TransAmerica Pyramid (600 Montgomery Street),37.795219,-122.420782
Freebie and the Bean,Stockton Tunnel (Stockton Street at Sutter Street),37.789434,-122.406957
Freebie and the Bean,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.795219,-122.420782
Freebie and the Bean,Potrero Hill,37.760661,-122.407066
Freebie and the Bean,Nob Hill,37.795219,-122.420782
Freebie and the Bean,Hyatt Regency Hotel (5 Embarcadero Center),37.795219,-122.420782
Freebie and the Bean,Folsom Street (SOMA),37.772812,-122.412824
Freebie and the Bean,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
Freebie and the Bean,Embarcadero Freeway,37.794996,-122.394324
Freebie and the Bean,Broadway and Columbus Avenue (North Beach),37.797865,-122.406668
Gentleman Jim,The Barbary Coast,37.795219,-122.420782
George of the Jungle,755 Vallejo Street,37.798453277778,-122.40978566667
George of the Jungle,The Tamalpias Building (1201 Greenwich Street at Hyde),37.795219,-122.420782
George of the Jungle,"Neiman Marcus (150 Stockton Street, Union Square)",37.737897,-122.418939
George of the Jungle,First Bank (550 Montgomery Street at Commercial),37.795219,-122.420782
George of the Jungle,Bay Bridge,37.814343,-122.358463
Getting Even with Dad,140 Maiden Lane,37.7882654,-122.4058901
Getting Even with Dad,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.795219,-122.420782
Getting Even with Dad,"Neiman Marcus (150 Stockton Street, Union Square)",37.737897,-122.418939
Getting Even with Dad,Mason Street at Jackson,37.795409,-122.411542
Getting Even with Dad,M.H. de Young Memorial Museum (Golden Gate Park),37.795219,-122.420782
Getting Even with Dad,Embarcadero Street Station- BART ,37.794996,-122.394324
Getting Even with Dad,Candlestick Park (602 Jamestown Ave.),37.795219,-122.420782
Getting Even with Dad,California & Grant Streets,37.792451,-122.405937
Getting Even with Dad,War Memorial Building (401 Van Ness Avenue),37.795219,-122.420782
Getting Even with Dad,Transbay Terminal (Mission Street at 1st Street),37.795219,-122.420782
God is a Communist?* (show me heart universe),Sacramento & Washington Streets,37.792133,-122.415936
Godzilla,Bush & Kearny,37.79076,-122.404031
Godzilla,Kearney & Pine St.,37.791691,-122.40422
Godzilla,California & Davis St,37.793509,-122.397607
Godzilla,Pine St. & Davis St,37.790462,-122.413916
Godzilla,Sacramento & Front St.,37.794717,-122.399058
Godzilla,Broadway & Sansome,37.798501,-122.401671
Godzilla,Broadway & Columbus,37.797865,-122.406668
Godzilla,Post & Jones St.,37.787663,-122.413354
Godzilla,Stockton & Clay St,37.79406,-122.407903
Godzilla,Mission & Fremont St,37.742821,-122.42168
Godzilla,Eddy & Taylor St.,37.784222,-122.410297
Godzilla,Pier 7 (The Embarcadero),37.794996,-122.394324
Godzilla,Pier 1,37.794996,-122.394324
Godzilla,Embarcadero & Washington,37.794996,-122.394324
Godzilla,Mission & Beal,37.742821,-122.42168
Godzilla,Potrero &San Bruno,37.760661,-122.407066
Golden Gate,Ross Alley (Chinatown),37.795044,-122.407266
Golden Gate,Buena Vista Park (Haight Street at Buena Vista),37.769006,-122.438338
Golden Gate,Golden Gate Bridge,37.810977,-122.477578
Golden Gate,University of California Hastings College of the Law,37.726517,-122.414072
Golden Gate,Bush Street (between Grant & Kearny Streets),37.79076,-122.404031
Greed,Bush and Sutter Streets,37.790565,-122.405574
Greed,Hayes Street at Laguna,37.776464,-122.426263
Greed,Cliff House (1090 Point Lobos Avenue),37.795219,-122.420782
Groove,435 23rd Street at Ilinois,37.755446,-122.387066
Groove,435 23rd Street at Ilinois,37.755446,-122.387066
Groove,435 23rd Street at Ilinois,37.755446,-122.387066
Guess Who's Coming to Dinner,634 Raycliff Terrace,37.792342,-122.44265
Guess Who's Coming to Dinner,Sutter Street between Powell and Mason,37.788081,-122.410057
Guess Who's Coming to Dinner,San Francisco International Airport,37.795219,-122.420782
Guess Who's Coming to Dinner,Mel's Drive-In (Corner South Van Ness & Mission St.),37.795219,-122.420782
Haiku Tunnel,,37.795219,-122.420782
Happy Gilmore,,37.795219,-122.420782
Hard to Hold,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.738952,-122.425815
Harold and Maude,Conservatory of Flowers (Golden Gate Park),37.795219,-122.420782
Harold and Maude,Sutro Baths (Point Lobos Avenue),37.795219,-122.420782
Harold and Maude,Golden Gate Park,37.779564,-122.431952
Heart and Souls,Stockton Tunnel (Stockton Street at Sutter Street),37.789434,-122.406957
Heart and Souls,Conservatory of Flowers (Golden Gate Park),37.795219,-122.420782
Heart and Souls,War Memorial Opera House (401 Van Ness Avenue),37.795219,-122.420782
Heart and Souls,2810 Pacific Avenue,37.7927428,-122.4420838
Heart Beat,City Lights Bookstore (261 Columbus),37.795219,-122.420782
Heart Beat,San Francisco Art Institute (800 Chestnut Street),37.795219,-122.420782
Heart Beat,Washington Square Bar & Grill (1707 Powell),37.794489,-122.411663
"Hello Frisco, Hello",,37.795219,-122.420782
Hemingway & Gelhorn,Muni Metro East (501 Cesar Chavez),37.795219,-122.420782
Herbie Rides Again,Sheraton Palace Hotel (639 Market Street),37.795219,-122.420782
Herbie Rides Again,Castagnola's Restaurant (Fisherman's Wharf),37.795219,-122.420782
